Applied time(s),Measured potential(v),Measured Current(A)
0.0,0.09997772,9.5081656e-05
0.1,0.09997772,8.588631999999999e-05
0.19999899999999998,0.09997772,8.2284024e-05
0.3,0.09997772,7.935456799999999e-05
0.399999,0.09997772,7.7532056e-05
0.49999899999999997,0.09997772,7.6263816e-05
0.6,0.09997772,7.4976776e-05
0.7,0.09997772,7.417824799999999e-05
0.7999999999999999,0.09997772,7.3229416e-05
0.8999999999999999,0.09997772,7.2628168e-05
1.0,0.09997772,7.204572e-05
1.0999999999999999,0.09997772,7.140690399999999e-05
1.2,0.09997772,7.1002936e-05
1.3,0.09997772,7.063656e-05
1.4,0.09997772,7.0157448e-05
1.5,0.09997772,7.0082288e-05
1.5999999999999999,0.09997772,6.976288e-05
1.7,0.09997772,6.949044e-05
1.7999999999999998,0.09997772,6.911466399999999e-05
1.9,0.09997772,6.881404e-05
2.0,0.09997772,6.8729496e-05
2.1,0.09997772,6.8804648e-05
2.1999999999999997,0.09997772,6.8720104e-05
2.2999989999999997,0.09997772,6.8795256e-05
2.3999989999999998,0.09997772,6.8522816e-05
2.499999,0.09997772,6.8757672e-05
2.599999,0.09997772,6.8823432e-05
2.699999,0.09997772,6.8691912e-05
2.7999989999999997,0.09997772,6.8691912e-05
2.8999989999999998,0.09997772,6.8729496e-05
2.999999,0.09997772,6.8964352e-05
3.099999,0.09997772,6.8898592e-05
3.199999,0.09997772,6.911466399999999e-05
3.299998,0.09997772,6.9208608e-05
3.3999979999999996,0.09997772,6.9377712e-05
3.4999979999999997,0.09997772,6.9264976e-05
3.599998,0.09997772,6.9274368e-05
3.699998,0.09997772,6.9499832e-05
3.799998,0.09997772,6.9809848e-05
3.8999979999999996,0.09997772,6.9443472e-05
3.9999979999999997,0.09997772,6.9885e-05
4.099998,0.09997772,6.9978952e-05
4.199998,0.09997772,7.0157448e-05
4.2999979999999995,0.09997772,7.030775199999999e-05
4.399998,0.09997772,7.042987999999999e-05
4.499998,0.09997772,7.042987999999999e-05
4.599997,0.09997772,7.0815056e-05
4.699997,0.09997772,7.0655344e-05
4.799996999999999,0.09997772,7.0880816e-05
4.899997,0.09997772,7.0984152e-05
4.999997,0.09997772,7.1143856e-05
5.099997,0.09997772,7.146326399999999e-05
5.199997,0.09997772,7.151024e-05
5.299996999999999,0.09997772,7.1669944e-05
5.399997,0.09997772,7.1716912e-05
5.499997,0.09997772,7.1735704e-05
5.599996,0.09997772,7.1801472e-05
5.699996,0.09997772,7.182964799999999e-05
5.799996,0.09997772,7.1989352e-05
5.899996,0.09997772,7.2158456e-05
5.999995999999999,0.09997772,7.2346344e-05
6.099996,0.09997772,7.2412104e-05
6.199996,0.09997772,7.25906e-05
6.299996,0.09997772,7.2684536e-05
6.399996,0.09997772,7.2872432e-05
6.499995999999999,0.09997772,7.319184e-05
6.599995,0.09997772,7.3229416e-05
6.6999949999999995,0.09997772,7.3304568e-05
6.799995,0.09997772,7.326699199999999e-05
6.899995,0.09997772,7.3699136e-05
6.999994999999999,0.09997772,7.3623976e-05
7.099995,0.09997772,7.3877624e-05
7.1999949999999995,0.09997772,7.3821256e-05
7.299995,0.09997772,7.4159464e-05
7.399995,0.09997772,7.417824799999999e-05
7.499994999999999,0.09997772,7.4253408e-05
7.599994,0.09997772,7.446947199999999e-05
7.699993999999999,0.09997772,7.448827199999999e-05
7.799994,0.09997772,7.4563424e-05
7.8999939999999995,0.09997772,7.459159999999999e-05
7.999994,0.09997772,7.4873432e-05
8.099993999999999,0.09997772,7.486404e-05
8.199994,0.09997772,7.500495199999999e-05
8.299995,0.09997772,7.500495199999999e-05
8.399994999999999,0.09997772,7.5305576e-05
8.499996,0.09997772,7.533376e-05
8.599995999999999,0.09997772,7.5512256e-05
8.699995999999999,0.09997772,7.5512256e-05
8.799997,0.09997772,7.5634384e-05
8.899996999999999,0.09997772,7.5709536e-05
8.999998,0.09997772,7.5803488e-05
9.099998,0.09997772,7.5897424e-05
9.199997999999999,0.09997772,7.601016e-05
9.299999,0.09997772,7.6122888e-05
9.399999,0.09997772,7.6376536e-05
9.499998999999999,0.09997772,7.6442304e-05
9.6,0.09997772,7.6498664e-05
9.7,0.09997772,7.6489272e-05
9.800001,0.09997772,7.654564e-05
9.900001,0.09997772,7.6789896e-05
10.000001,0.09997772,7.6912024e-05
10.100002,0.09997772,7.6846264e-05
10.200002,0.09997772,7.6827472e-05
10.300002,0.09997772,7.681808e-05
10.400003,0.09997772,7.7118704e-05
10.500003,0.09997772,7.7231432e-05
10.600004,0.09997772,7.7344168e-05
10.700004,0.09997772,7.7438112e-05
10.800004,0.09997772,7.742871199999999e-05
10.900005,0.09997772,7.7522664e-05
11.000005,0.09997772,7.76166e-05
11.100005,0.09997772,7.7654184e-05
11.200006,0.09997772,7.782328e-05
11.300006,0.09997772,7.782328e-05
11.400006999999999,0.09997772,7.7973592e-05
11.500007,0.09997772,7.7907832e-05
11.600007,0.09997772,7.8274208e-05
11.700007999999999,0.09997772,7.8274208e-05
11.800008,0.09997772,7.8377552e-05
11.900008,0.09997772,7.8386944e-05
12.000008999999999,0.09997772,7.8490288e-05
12.100009,0.09997772,7.8509072e-05
12.200009999999999,0.09997772,7.8847272e-05
12.300009999999999,0.09997772,7.89694e-05
12.40001,0.09997772,7.9091528e-05
12.500010999999999,0.09997772,7.9082136e-05
12.600011,0.09997772,7.9410936e-05
12.700011,0.09997772,7.9627008e-05
12.800011999999999,0.09997772,7.9664584e-05
12.900012,0.09997772,7.96364e-05
13.000013,0.09997772,7.9692768e-05
13.100012999999999,0.09997772,8.0077944e-05
13.200013,0.09997772,8.0096728e-05
13.300014,0.09997772,8.0350376e-05
13.400013999999999,0.09997772,8.0256432e-05
13.500014,0.09997772,8.038795199999999e-05
13.600014999999999,0.09997772,8.0463112e-05
13.700014999999999,0.09997772,8.051007999999999e-05
13.800016,0.09997772,8.070736e-05
13.900015999999999,0.09997772,8.0735552e-05
14.000015999999999,0.09997772,8.087646399999999e-05
14.100017,0.09997772,8.091404e-05
14.200016999999999,0.09997772,8.0885856e-05
14.300016999999999,0.09997772,8.1017376e-05
14.400018,0.09997772,8.105496e-05
14.500017999999999,0.09997772,8.1148904e-05
14.600019,0.09997772,8.1214664e-05
14.700019,0.09997772,8.1177088e-05
14.800018999999999,0.09997772,8.1233448e-05
14.90002,0.09997772,8.125224e-05
15.00002,0.09997772,8.1318e-05
15.100019999999999,0.09997772,8.1364968e-05
15.200021,0.09997772,8.1562256e-05
15.300021,0.09997772,8.1674984e-05
15.400022,0.09997772,8.1872272e-05
15.500022,0.09997772,8.192864e-05
15.600022,0.09997772,8.1872272e-05
15.700023,0.09997772,8.186288e-05
15.800023,0.09997772,8.1966216e-05
15.900023,0.09997772,8.2022576e-05
