Applied time(s),Measured Current(A)
0.0,2.2940936e-05
0.999999,3.223107e-05
1.9999989999999999,3.4221812e-05
2.999999,3.4599608e-05
3.999999,3.5041144e-05
4.999999,3.54545e-05
5.999999,3.6206052e-05
6.999999,3.676032e-05
7.999999,3.7192464e-05
8.999998999999999,3.7643396e-05
9.999998999999999,3.7962804e-05
10.999998999999999,3.7944016e-05
11.999998999999999,3.8103724e-05
12.999998999999999,3.820706e-05
13.999998999999999,3.8150692e-05
14.999998999999999,3.8216452e-05
15.999998999999999,3.8451312e-05
16.999997999999998,3.8864668e-05
17.999997999999998,3.887406e-05
18.999997999999998,3.8263428e-05
19.999997999999998,3.83104e-05
20.999997999999998,3.8535864e-05
21.999997999999998,3.8733148e-05
22.999997999999998,3.8855276e-05
23.999997999999998,3.88083e-05
24.999997999999998,3.8836483999999996e-05
25.999997999999998,3.8517072e-05
26.999997999999998,3.8902244e-05
27.999997999999998,3.9043159999999996e-05
28.999997999999998,3.894922e-05
29.999997999999998,3.887406e-05
30.999997999999998,3.9268628e-05
31.999997999999998,3.9465908e-05
32.999998,3.9334388e-05
33.999995999999996,3.9569248e-05
34.999995999999996,3.955046e-05
35.999995999999996,3.9681984e-05
36.999995999999996,3.9644404e-05
37.999995999999996,3.978532e-05
38.999995999999996,4.0057756e-05
39.999995999999996,4.0123516e-05
40.999995999999996,4.0038972e-05
41.999995999999996,4.0142308e-05
42.999995999999996,3.9945024e-05
43.999995999999996,3.9681984e-05
44.999995999999996,3.9653799999999996e-05
45.999995999999996,3.9728952e-05
46.999995999999996,3.9898052e-05
47.999995999999996,3.9869872e-05
48.999995999999996,3.9869872e-05
49.999995999999996,4.0076548e-05
50.999995999999996,4.0236252e-05
51.999995999999996,4.0348984e-05
52.999995999999996,4.052748e-05
53.999995999999996,4.0518084e-05
54.999995999999996,4.0536872e-05
55.999995999999996,4.0659e-05
56.999995999999996,4.0367776e-05
57.999995999999996,4.0471112e-05
58.999995999999996,4.0612028e-05
