Applied time(s),Measured potential(v),Measured Current(A)
0.0,0.09997772,9.6219224e-05
0.1,0.09997772,9.2237736e-05
0.19999899999999998,0.09997772,8.9583408e-05
0.3,0.09997772,8.6982832e-05
0.399999,0.09997772,8.5329416e-05
0.49999899999999997,0.09997772,8.4023592e-05
0.6,0.09997772,8.3112336e-05
0.7,0.09997772,8.231380799999999e-05
0.7999999999999999,0.09997772,8.1562256e-05
0.8999999999999999,0.09997772,8.1148904e-05
1.0,0.09997772,8.0688576e-05
1.0999999999999999,0.09997772,8.0359768e-05
1.2,0.09997772,8.0068544e-05
1.3,0.09997772,7.9983992e-05
1.4,0.09997772,7.996520799999999e-05
1.5,0.09997772,7.9786712e-05
1.5999999999999999,0.09997772,7.965518399999999e-05
1.7,0.09997772,7.955185599999999e-05
1.7999999999999998,0.09997772,7.9495488e-05
1.9,0.09997772,7.9486096e-05
2.0,0.09997772,7.943912e-05
2.1,0.09997772,7.9542464e-05
2.1999999999999997,0.09997772,7.9363968e-05
2.2999989999999997,0.09997772,7.9326384e-05
2.3999989999999998,0.09997772,7.937336e-05
2.499999,0.09997772,7.9335776e-05
2.599999,0.09997772,7.942972799999999e-05
2.699999,0.09997772,7.9392144e-05
2.7999989999999997,0.09997772,7.9486096e-05
2.8999989999999998,0.09997772,7.9457904e-05
2.999999,0.09997772,7.9448512e-05
3.099999,0.09997772,7.955185599999999e-05
3.199999,0.09997772,7.9420336e-05
3.299998,0.09997772,7.950488e-05
3.3999979999999996,0.09997772,7.9561248e-05
3.4999979999999997,0.09997772,7.9514272e-05
3.599998,0.09997772,7.9514272e-05
3.699998,0.09997772,7.953305599999999e-05
3.799998,0.09997772,7.955185599999999e-05
3.8999979999999996,0.09997772,7.9542464e-05
3.9999979999999997,0.09997772,7.9589424e-05
4.099998,0.09997772,7.9476704e-05
4.199998,0.09997772,7.9627008e-05
4.2999979999999995,0.09997772,7.9664584e-05
4.399998,0.09997772,7.9580032e-05
4.499998,0.09997772,7.977732e-05
4.599997,0.09997772,7.9739744e-05
4.699997,0.09997772,7.9617616e-05
4.799996999999999,0.09997772,7.959882399999999e-05
4.899997,0.09997772,7.965518399999999e-05
4.999997,0.09997772,7.96364e-05
5.099997,0.09997772,7.972095199999999e-05
5.199997,0.09997772,7.976792e-05
5.299996999999999,0.09997772,7.9711552e-05
5.399997,0.09997772,7.9758528e-05
5.499997,0.09997772,7.9692768e-05
5.599996,0.09997772,7.9739744e-05
5.699996,0.09997772,7.9805504e-05
5.799996,0.09997772,7.9805504e-05
5.899996,0.09997772,7.9758528e-05
5.999995999999999,0.09997772,7.970216e-05
6.099996,0.09997772,7.9880656e-05
6.199996,0.09997772,7.9739744e-05
6.299996,0.09997772,7.977732e-05
6.399996,0.09997772,7.9805504e-05
6.499995999999999,0.09997772,7.9927624e-05
6.599995,0.09997772,7.9899448e-05
6.6999949999999995,0.09997772,7.984307999999999e-05
6.799995,0.09997772,7.99746e-05
6.899995,0.09997772,7.996520799999999e-05
6.999994999999999,0.09997772,7.9946416e-05
7.099995,0.09997772,8.0012176e-05
7.1999949999999995,0.09997772,7.9918232e-05
7.299995,0.09997772,7.9946416e-05
7.399995,0.09997772,8.0021576e-05
7.499994999999999,0.09997772,7.9955816e-05
7.599994,0.09997772,8.0049752e-05
7.699993999999999,0.09997772,8.0002784e-05
7.799994,0.09997772,8.0021576e-05
7.8999939999999995,0.09997772,8.0068544e-05
7.999994,0.09997772,7.9993384e-05
8.099993999999999,0.09997772,8.0012176e-05
8.199994,0.09997772,8.0068544e-05
8.299995,0.09997772,8.0030968e-05
8.399994999999999,0.09997772,8.0162488e-05
8.499996,0.09997772,8.0134312e-05
8.599995999999999,0.09997772,8.0068544e-05
8.699995999999999,0.09997772,8.0162488e-05
8.799997,0.09997772,8.0228248e-05
8.899996999999999,0.09997772,8.0134312e-05
8.999998,0.09997772,8.0153096e-05
9.099998,0.09997772,8.0134312e-05
9.199997999999999,0.09997772,8.0162488e-05
9.299999,0.09997772,8.017188e-05
9.399999,0.09997772,8.0143704e-05
9.499998999999999,0.09997772,8.0218856e-05
9.6,0.09997772,8.0275224e-05
9.7,0.09997772,8.0284616e-05
9.800001,0.09997772,8.0284616e-05
9.900001,0.09997772,8.0256432e-05
10.000001,0.09997772,8.020946399999999e-05
10.100002,0.09997772,8.0275224e-05
10.200002,0.09997772,8.0397352e-05
10.300002,0.09997772,8.0416136e-05
10.400003,0.09997772,8.03128e-05
10.500003,0.09997772,8.0359768e-05
10.600004,0.09997772,8.0322192e-05
10.700004,0.09997772,8.038795199999999e-05
10.800004,0.09997772,8.037856e-05
