Applied time(s),Measured potential(v),Measured Current(A)
0.0,0.09997772,0.002749121
0.1,0.09997772,0.002635933
0.19999899999999998,0.09997772,0.002593937
0.3,0.09997772,0.002565688
0.399999,0.09997772,0.002540946
0.49999899999999997,0.09997772,0.002518574
0.6,0.09997772,0.0024992350000000003
0.7,0.09997772,0.002481413
0.7999999999999999,0.09997772,0.0024664350000000003
0.8999999999999999,0.09997772,0.0024521210000000002
1.0,0.09997772,0.002439797
1.0999999999999999,0.09997772,0.0024282320000000002
1.2,0.09997772,0.0024199850000000004
1.3,0.09997772,0.002411547
1.4,0.09997772,0.002404532
1.5,0.09997772,0.002400456
1.5999999999999999,0.09997772,0.002396759
1.7,0.09997772,0.002398845
1.7999999999999998,0.09997772,0.002399888
1.9,0.09997772,0.00240112
2.0,0.09997772,0.00240586
2.1,0.09997772,0.002412875
2.1999999999999997,0.09997772,0.0024255780000000003
2.2999989999999997,0.09997772,0.0024398920000000004
2.3999989999999998,0.09997772,0.002455249
2.499999,0.09997772,0.002471933
2.599999,0.09997772,0.0024866270000000004
2.699999,0.09997772,0.0025017940000000003
2.7999989999999997,0.09997772,0.002511938
2.8999989999999998,0.09997772,0.0025264420000000003
2.999999,0.09997772,0.002542368
3.099999,0.09997772,0.002561138
3.199999,0.09997772,0.002579149
3.299998,0.09997772,0.0025978240000000003
3.3999979999999996,0.09997772,0.002614888
3.4999979999999997,0.09997772,0.002631856
3.599998,0.09997772,0.002650721
3.699998,0.09997772,0.0026676900000000003
3.799998,0.09997772,0.002685606
3.8999979999999996,0.09997772,0.002703523
3.9999979999999997,0.09997772,0.0027192590000000003
4.099998,0.09997772,0.002736133
4.199998,0.09997772,0.002749974
4.2999979999999995,0.09997772,0.0027620130000000002
4.399998,0.09997772,0.0027708290000000003
4.499998,0.09997772,0.002780119
4.599997,0.09997772,0.002790073
4.699997,0.09997772,0.0027968040000000004
4.799996999999999,0.09997772,0.0028050510000000002
4.899997,0.09997772,0.0028134880000000003
4.999997,0.09997772,0.0028225890000000003
5.099997,0.09997772,0.002830931
5.199997,0.09997772,0.0028381350000000003
5.299996999999999,0.09997772,0.002845245
5.399997,0.09997772,0.0028509330000000004
5.499997,0.09997772,0.0028557680000000003
5.599996,0.09997772,0.002858896
5.699996,0.09997772,0.002861076
5.799996,0.09997772,0.002862972
5.899996,0.09997772,0.002865437
5.999995999999999,0.09997772,0.002868944
6.099996,0.09997772,0.002872452
6.199996,0.09997772,0.002874442
6.299996,0.09997772,0.002875485
6.399996,0.09997772,0.0028760540000000003
6.499995999999999,0.09997772,0.00287795
6.599995,0.09997772,0.0028783290000000002
6.6999949999999995,0.09997772,0.0028793720000000003
6.799995,0.09997772,0.002881268
6.899995,0.09997772,0.0028830690000000003
6.999994999999999,0.09997772,0.002884301
7.099995,0.09997772,0.0028855340000000004
7.1999949999999995,0.09997772,0.0028867660000000002
7.299995,0.09997772,0.0028866710000000004
7.399995,0.09997772,0.0028871450000000002
7.499994999999999,0.09997772,0.0028870510000000003
7.599994,0.09997772,0.002885818
7.699993999999999,0.09997772,0.002885818
7.799994,0.09997772,0.002884586
7.8999939999999995,0.09997772,0.0028855340000000004
7.999994,0.09997772,0.00288506
8.099993999999999,0.09997772,0.002886956
8.199994,0.09997772,0.0028871450000000002
8.299995,0.09997772,0.002887999
8.399994999999999,0.09997772,0.0028874300000000003
8.499996,0.09997772,0.00288724
8.599995999999999,0.09997772,0.002886482
8.699995999999999,0.09997772,0.0028844910000000003
8.799997,0.09997772,0.00288288
8.899996999999999,0.09997772,0.002881742
8.999998,0.09997772,0.002880699
9.099998,0.09997772,0.002880131
9.199997999999999,0.09997772,0.002881363
9.299999,0.09997772,0.0028814580000000004
9.399999,0.09997772,0.002882785
9.499998999999999,0.09997772,0.002882406
9.6,0.09997772,0.002881742
9.7,0.09997772,0.002879467
9.800001,0.09997772,0.002880699
9.900001,0.09997772,0.00288051
10.000001,0.09997772,0.002880131
10.100002,0.09997772,0.0028800360000000003
10.200002,0.09997772,0.002879467
10.300002,0.09997772,0.002879182
10.400003,0.09997772,0.002879182
10.500003,0.09997772,0.002878424
10.600004,0.09997772,0.0028774760000000003
10.700004,0.09997772,0.002876528
10.800004,0.09997772,0.002875865
10.900005,0.09997772,0.002874822
11.000005,0.09997772,0.0028745370000000004
11.100005,0.09997772,0.0028737790000000004
11.200006,0.09997772,0.002874063
11.300006,0.09997772,0.002873305
11.400006999999999,0.09997772,0.0028731150000000003
11.500007,0.09997772,0.002872262
11.600007,0.09997772,0.002871125
11.700007999999999,0.09997772,0.0028701770000000002
11.800008,0.09997772,0.002868376
11.900008,0.09997772,0.002867712
12.000008999999999,0.09997772,0.002866195
12.100009,0.09997772,0.002865058
12.200009999999999,0.09997772,0.002863257
12.300009999999999,0.09997772,0.002861834
12.40001,0.09997772,0.002860507
12.500010999999999,0.09997772,0.0028598440000000003
12.600011,0.09997772,0.002859749
12.700011,0.09997772,0.002858517
12.800011999999999,0.09997772,0.002858043
12.900012,0.09997772,0.0028572840000000003
13.000013,0.09997772,0.00285681
13.100012999999999,0.09997772,0.002856336
13.200013,0.09997772,0.002855957
13.300014,0.09997772,0.0028546300000000004
13.400013999999999,0.09997772,0.00285482
13.500014,0.09997772,0.002853398
13.600014999999999,0.09997772,0.0028528290000000003
13.700014999999999,0.09997772,0.0028513120000000004
13.800016,0.09997772,0.0028513120000000004
13.900015999999999,0.09997772,0.0028510280000000002
