Applied time(s),Measured Current(A)
0.0,2.976634e-05
0.999999,3.3368635999999996e-05
1.9999989999999999,3.5548976e-05
2.999999,3.6835476e-05
3.999999,3.7925228e-05
4.999999,3.8535864e-05
5.999999,3.8968008e-05
6.999999,3.9447123999999996e-05
7.999999,3.9860475999999997e-05
8.999998999999999,4.0123516e-05
9.999998999999999,4.0104731999999997e-05
10.999998999999999,3.9973208e-05
11.999998999999999,4.002018e-05
12.999998999999999,3.988866e-05
13.999998999999999,3.9869872e-05
14.999998999999999,4.0038972e-05
15.999998999999999,4.0132916e-05
16.999997999999998,4.0236252e-05
17.999997999999998,4.0048364e-05
18.999997999999998,4.0076548e-05
19.999997999999998,3.9945024e-05
20.999997999999998,3.9775927999999996e-05
21.999997999999998,3.9841688e-05
22.999997999999998,3.9569248e-05
23.999997999999998,3.8968008e-05
24.999997999999998,3.910892e-05
25.999997999999998,3.9165287999999996e-05
26.999997999999998,3.9296812e-05
27.999997999999998,3.93156e-05
28.999997999999998,3.9221656e-05
29.999997999999998,3.9174684e-05
30.999997999999998,3.9033768e-05
31.999997999999998,3.9061952e-05
32.999998,3.9155896e-05
33.999995999999996,3.891164e-05
34.999995999999996,3.9090136e-05
35.999995999999996,3.9080739999999996e-05
36.999995999999996,3.9306204e-05
37.999995999999996,3.93156e-05
38.999995999999996,3.9033768e-05
39.999995999999996,3.9052556e-05
40.999995999999996,3.8996192e-05
41.999995999999996,3.8996192e-05
42.999995999999996,3.9212264e-05
43.999995999999996,3.918408e-05
44.999995999999996,3.9174684e-05
45.999995999999996,3.9043159999999996e-05
46.999995999999996,3.9071344e-05
47.999995999999996,3.9231048e-05
48.999995999999996,3.9324995999999996e-05
49.999995999999996,3.9221656e-05
50.999995999999996,3.9259232e-05
51.999995999999996,3.9146504e-05
52.999995999999996,3.9165287999999996e-05
53.999995999999996,3.9033768e-05
54.999995999999996,3.894922e-05
55.999995999999996,3.8864668e-05
56.999995999999996,3.8798908e-05
57.999995999999996,3.8714355999999996e-05
58.999995999999996,3.8629807999999996e-05
