Applied time(s),Measured Current(A)
0.0,0.00011375600000000001
0.1,0.000111576
0.19999899999999998,0.000111292
0.3,0.000111661
0.399999,0.00011159600000000001
0.49999899999999997,0.00011186800000000001
0.6,0.000111896
0.7,0.000112028
0.7999999999999999,0.000112479
0.8999999999999999,0.000111934
1.0,0.00011214100000000001
1.0999999999999999,0.000111934
1.2,0.000111915
1.3,0.000111971
1.4,0.00011201800000000001
1.5,0.00011212200000000001
1.5999999999999999,0.00011219700000000001
1.7,0.000112084
1.7999999999999998,0.00011210300000000001
1.9,0.00011196200000000001
2.0,0.00011198100000000001
2.1,0.000111953
2.1999999999999997,0.00011196200000000001
2.2999989999999997,0.000112028
2.3999989999999998,0.00011198100000000001
2.499999,0.00011207500000000001
2.599999,0.00011201800000000001
2.699999,0.000112028
2.7999989999999997,0.000112009
2.8999989999999998,0.000111953
2.999999,0.00011192500000000001
3.099999,0.00011201800000000001
3.199999,0.00011190600000000001
3.299998,0.000111793
3.3999979999999996,0.000111849
3.4999979999999997,0.00011188700000000001
3.599998,0.000111953
3.699998,0.00011199
3.799998,0.000111793
3.8999979999999996,0.00011196200000000001
3.9999979999999997,0.000111793
4.099998,0.000111859
4.199998,0.000111878
4.2999979999999995,0.000111793
4.399998,0.00011192500000000001
4.499998,0.000111755
4.599997,0.00011190600000000001
4.699997,0.00011188700000000001
4.799996999999999,0.000111812
4.899997,0.00011176500000000001
4.999997,0.00011200000000000001
5.099997,0.00011165200000000001
5.199997,0.000111878
5.299996999999999,0.00011174600000000001
5.399997,0.000111755
5.499997,0.000111633
5.599996,0.00011180200000000001
5.699996,0.000111661
5.799996,0.000111737
5.899996,0.00011170800000000001
5.999995999999999,0.00011167100000000001
6.099996,0.00011167100000000001
6.199996,0.00011169000000000001
6.299996,0.00011176500000000001
6.399996,0.00011178400000000001
6.499995999999999,0.00011174600000000001
6.599995,0.00011168
6.6999949999999995,0.000111633
6.799995,0.00011167100000000001
6.899995,0.000111577
6.999994999999999,0.000111774
7.099995,0.00011153000000000001
7.1999949999999995,0.000111699
7.299995,0.000111755
7.399995,0.000111643
7.499994999999999,0.000111614
7.599994,0.00011170800000000001
7.699993999999999,0.00011158600000000001
7.799994,0.000111624
7.8999939999999995,0.000111577
7.999994,0.000111427
8.099993999999999,0.00011156800000000001
8.199994,0.000111643
8.299995,0.000111427
8.399994999999999,0.00011170800000000001
8.499996,0.000111502
8.599995999999999,0.00011158600000000001
8.699995999999999,0.00011160500000000001
8.799997,0.00011149200000000001
8.899996999999999,0.000111483
8.999998,0.000111408
9.099998,0.000111558
9.199997999999999,0.000111643
9.299999,0.00011167100000000001
9.399999,0.00011145500000000001
9.499998999999999,0.00011145500000000001
9.6,0.00011145500000000001
9.7,0.000111445
9.800001,0.00011143600000000001
9.900001,0.00011145500000000001
10.000001,0.000111521
10.100002,0.000111445
10.200002,0.00011141700000000001
10.300002,0.000111389
10.400003,0.00011143600000000001
10.500003,0.000111408
10.600004,0.000111427
10.700004,0.00011135100000000001
10.800004,0.00011145500000000001
10.900005,0.000111464
11.000005,0.000111304
11.100005,0.000111398
11.200006,0.00011145500000000001
11.300006,0.000111464
11.400006999999999,0.000111398
11.500007,0.00011143600000000001
11.600007,0.00011143600000000001
11.700007999999999,0.000111361
11.800008,0.00011138000000000001
11.900008,0.000111464
12.000008999999999,0.000111398
12.100009,0.00011133300000000001
12.200009999999999,0.000111342
12.300009999999999,0.00011133300000000001
12.40001,0.000111389
12.500010999999999,0.00011137000000000001
12.600011,0.00011129500000000001
12.700011,0.000111445
12.800011999999999,0.00011135100000000001
12.900012,0.00011137000000000001
13.000013,0.00011138000000000001
13.100012999999999,0.00011123900000000001
13.200013,0.00011131400000000001
13.300014,0.00011123900000000001
13.400013999999999,0.00011131400000000001
13.500014,0.00011135100000000001
13.600014999999999,0.000111192
13.700014999999999,0.00011137000000000001
13.800016,0.00011122000000000001
13.900015999999999,0.00011114500000000001
14.000015999999999,0.00011125800000000001
14.100017,0.00011131400000000001
14.200016999999999,0.00011120100000000001
14.300016999999999,0.00011123900000000001
14.400018,0.00011131400000000001
14.500017999999999,0.00011123900000000001
14.600019,0.00011109800000000001
14.700019,0.00011115400000000001
14.800018999999999,0.000111286
14.90002,0.000111323
15.00002,0.000111323
15.100019999999999,0.00011120100000000001
15.200021,0.000111248
15.300021,0.00011106000000000001
15.400022,0.000111088
15.500022,0.000111126
15.600022,0.00011118200000000001
15.700023,0.000111117
15.800023,0.000111229
15.900023,0.00011123900000000001
16.000024,0.00011115400000000001
16.100023999999998,0.000111126
16.200025,0.00011115400000000001
16.300024999999998,0.00011107
16.400025,0.000111088
16.500026,0.000111107
16.600026,0.00011106000000000001
16.700025999999998,0.000111107
16.800026,0.00011113500000000001
16.900028,0.000111088
17.000028,0.000111117
17.100028,0.000111107
17.200028,0.000111107
17.300027999999998,0.00011109800000000001
17.400029999999997,0.00011109800000000001
17.50003,0.000111051
17.60003,0.00011100400000000001
17.700029999999998,0.000111117
17.80003,0.000111126
17.900029999999997,0.000111088
18.000032,0.000111032
18.100032,0.00011118200000000001
18.200032,0.000111051
18.300031999999998,0.000111088
18.400032,0.000111013
18.500034,0.00011092900000000001
18.600034,0.000110957
18.700034,0.00011098500000000001
18.800034,0.00011115400000000001
18.900033999999998,0.000111051
19.000035999999998,0.00011098500000000001
19.100036,0.000111013
19.200036,0.000111051
19.300036,0.000111032
19.400036,0.000110957
19.500035999999998,0.000110901
19.600037999999998,0.000111032
19.700038,0.000111013
19.800038,0.00011086300000000001
19.900038,0.00011098500000000001
