Applied time(s),Measured potential(v),Measured Current(A)
0.0,0.09997772,9.195334e-06
0.1,0.09997772,7.299389e-06
0.19999899999999998,0.09997772,6.3514159999999995e-06
0.3,0.09997772,5.636645e-06
0.399999,0.09997772,5.3923899999999995e-06
0.49999899999999997,0.09997772,5.195108e-06
0.6,0.09997772,5.0701619999999996e-06
0.7,0.09997772,4.9593079999999995e-06
0.7999999999999999,0.09997772,4.874758e-06
0.8999999999999999,0.09997772,4.80524e-06
1.0,0.09997772,4.757328e-06
1.0999999999999999,0.09997772,4.715993e-06
1.2,0.09997772,4.661505e-06
1.3,0.09997772,4.634262e-06
1.4,0.09997772,4.598563e-06
1.5,0.09997772,4.560985e-06
1.5999999999999999,0.09997772,4.551591e-06
1.7,0.09997772,4.532802e-06
1.7999999999999998,0.09997772,4.491466e-06
1.9,0.09997772,4.489587e-06
2.0,0.09997772,4.483951e-06
2.1,0.09997772,4.464223e-06
2.1999999999999997,0.09997772,4.434161e-06
2.2999989999999997,0.09997772,4.449192e-06
2.3999989999999998,0.09997772,4.420069e-06
2.499999,0.09997772,4.420069e-06
2.599999,0.09997772,4.391886e-06
2.699999,0.09997772,4.38531e-06
2.7999989999999997,0.09997772,4.395643e-06
2.8999989999999998,0.09997772,4.3740369999999995e-06
2.999999,0.09997772,4.365581e-06
3.099999,0.09997772,4.365581e-06
3.199999,0.09997772,4.361824e-06
3.299998,0.09997772,4.360884e-06
3.3999979999999996,0.09997772,4.355248e-06
3.4999979999999997,0.09997772,4.329883e-06
3.599998,0.09997772,4.329883e-06
3.699998,0.09997772,4.316731e-06
3.799998,0.09997772,4.330822e-06
3.8999979999999996,0.09997772,4.308276e-06
3.9999979999999997,0.09997772,4.304518e-06
4.099998,0.09997772,4.298881e-06
4.199998,0.09997772,4.3054569999999996e-06
4.2999979999999995,0.09997772,4.3129729999999995e-06
4.399998,0.09997772,4.3035779999999996e-06
4.499998,0.09997772,4.291366e-06
4.599997,0.09997772,4.282911e-06
4.699997,0.09997772,4.286668e-06
4.799996999999999,0.09997772,4.276335e-06
4.899997,0.09997772,4.282911e-06
4.999997,0.09997772,4.277274e-06
5.099997,0.09997772,4.277274e-06
5.199997,0.09997772,4.268819e-06
5.299996999999999,0.09997772,4.265061e-06
5.399997,0.09997772,4.278214e-06
5.499997,0.09997772,4.255667e-06
5.599996,0.09997772,4.276335e-06
5.699996,0.09997772,4.25097e-06
5.799996,0.09997772,4.263182e-06
5.899996,0.09997772,4.2500299999999995e-06
5.999995999999999,0.09997772,4.247212e-06
6.099996,0.09997772,4.257546e-06
6.199996,0.09997772,4.239696e-06
6.299996,0.09997772,4.243454e-06
6.399996,0.09997772,4.243454e-06
6.499995999999999,0.09997772,4.243454e-06
6.599995,0.09997772,4.241575e-06
6.6999949999999995,0.09997772,4.240636e-06
6.799995,0.09997772,4.230302e-06
6.899995,0.09997772,4.225605e-06
6.999994999999999,0.09997772,4.237817e-06
7.099995,0.09997772,4.2340599999999996e-06
7.1999949999999995,0.09997772,4.236878e-06
7.299995,0.09997772,4.234999e-06
7.399995,0.09997772,4.218089e-06
7.499994999999999,0.09997772,4.21715e-06
7.599994,0.09997772,4.218089e-06
7.699993999999999,0.09997772,4.210574e-06
7.799994,0.09997772,4.210574e-06
7.8999939999999995,0.09997772,4.226544e-06
7.999994,0.09997772,4.1993e-06
8.099993999999999,0.09997772,4.20024e-06
8.199994,0.09997772,4.215271e-06
8.299995,0.09997772,4.211513e-06
8.399994999999999,0.09997772,4.208695e-06
8.499996,0.09997772,4.218089e-06
8.599995999999999,0.09997772,4.214332e-06
8.699995999999999,0.09997772,4.202119e-06
8.799997,0.09997772,4.195543e-06
8.899996999999999,0.09997772,4.198361e-06
8.999998,0.09997772,4.203058e-06
9.099998,0.09997772,4.211513e-06
9.199997999999999,0.09997772,4.1993e-06
9.299999,0.09997772,4.184269e-06
9.399999,0.09997772,4.206816e-06
9.499998999999999,0.09997772,4.194603e-06
9.6,0.09997772,4.191785e-06
9.7,0.09997772,4.188967e-06
9.800001,0.09997772,4.203058e-06
9.900001,0.09997772,4.179572e-06
10.000001,0.09997772,4.203058e-06
10.100002,0.09997772,4.203058e-06
10.200002,0.09997772,4.203997e-06
10.300002,0.09997772,4.185209e-06
10.400003,0.09997772,4.203997e-06
10.500003,0.09997772,4.209634e-06
10.600004,0.09997772,4.184269e-06
10.700004,0.09997772,4.193664e-06
10.800004,0.09997772,4.207756e-06
10.900005,0.09997772,4.193664e-06
11.000005,0.09997772,4.207756e-06
11.100005,0.09997772,4.1927239999999995e-06
11.200006,0.09997772,4.198361e-06
11.300006,0.09997772,4.1908449999999995e-06
11.400006999999999,0.09997772,4.191785e-06
11.500007,0.09997772,4.202119e-06
11.600007,0.09997772,4.18333e-06
11.700007999999999,0.09997772,4.178632e-06
11.800008,0.09997772,4.196482e-06
11.900008,0.09997772,4.1927239999999995e-06
12.000008999999999,0.09997772,4.172056e-06
12.100009,0.09997772,4.177693e-06
12.200009999999999,0.09997772,4.1927239999999995e-06
12.300009999999999,0.09997772,4.177693e-06
12.40001,0.09997772,4.1908449999999995e-06
12.500010999999999,0.09997772,4.202119e-06
12.600011,0.09997772,4.175814e-06
12.700011,0.09997772,4.191785e-06
12.800011999999999,0.09997772,4.188027e-06
12.900012,0.09997772,4.179572e-06
13.000013,0.09997772,4.186148e-06
13.100012999999999,0.09997772,4.185209e-06
13.200013,0.09997772,4.188027e-06
13.300014,0.09997772,4.164541e-06
13.400013999999999,0.09997772,4.1908449999999995e-06
13.500014,0.09997772,4.177693e-06
13.600014999999999,0.09997772,4.168299e-06
13.700014999999999,0.09997772,4.161723e-06
13.800016,0.09997772,4.1767539999999996e-06
13.900015999999999,0.09997772,4.1767539999999996e-06
14.000015999999999,0.09997772,4.181451e-06
14.100017,0.09997772,4.179572e-06
14.200016999999999,0.09997772,4.178632e-06
14.300016999999999,0.09997772,4.179572e-06
14.400018,0.09997772,4.161723e-06
14.500017999999999,0.09997772,4.168299e-06
14.600019,0.09997772,4.181451e-06
14.700019,0.09997772,4.177693e-06
14.800018999999999,0.09997772,4.18333e-06
14.90002,0.09997772,4.172056e-06
15.00002,0.09997772,4.16642e-06
15.100019999999999,0.09997772,4.179572e-06
15.200021,0.09997772,4.186148e-06
15.300021,0.09997772,4.1767539999999996e-06
15.400022,0.09997772,4.157026e-06
15.500022,0.09997772,4.186148e-06
15.600022,0.09997772,4.175814e-06
15.700023,0.09997772,4.173935e-06
15.800023,0.09997772,4.171117e-06
15.900023,0.09997772,4.16642e-06
16.000024,0.09997772,4.157026e-06
16.100023999999998,0.09997772,4.160783e-06
16.200025,0.09997772,4.156086e-06
16.300024999999998,0.09997772,4.160783e-06
16.400025,0.09997772,4.157026e-06
16.500026,0.09997772,4.170178e-06
16.600026,0.09997772,4.171117e-06
16.700025999999998,0.09997772,4.184269e-06
16.800026,0.09997772,4.177693e-06
16.900028,0.09997772,4.161723e-06
17.000028,0.09997772,4.167359e-06
17.100028,0.09997772,4.157026e-06
17.200028,0.09997772,4.159844e-06
17.300027999999998,0.09997772,4.157026e-06
17.400029999999997,0.09997772,4.157026e-06
17.50003,0.09997772,4.162662e-06
17.60003,0.09997772,4.161723e-06
17.700029999999998,0.09997772,4.168299e-06
17.80003,0.09997772,4.156086e-06
17.900029999999997,0.09997772,4.157965e-06
18.000032,0.09997772,4.150449e-06
18.100032,0.09997772,4.14951e-06
18.200032,0.09997772,4.162662e-06
18.300031999999998,0.09997772,4.152328e-06
18.400032,0.09997772,4.163602e-06
18.500034,0.09997772,4.139176e-06
18.600034,0.09997772,4.152328e-06
18.700034,0.09997772,4.156086e-06
18.800034,0.09997772,4.141055e-06
18.900033999999998,0.09997772,4.16642e-06
19.000035999999998,0.09997772,4.143873e-06
19.100036,0.09997772,4.147631e-06
19.200036,0.09997772,4.143873e-06
19.300036,0.09997772,4.145752e-06
19.400036,0.09997772,4.14951e-06
19.500035999999998,0.09997772,4.137297e-06
19.600037999999998,0.09997772,4.147631e-06
19.700038,0.09997772,4.14951e-06
19.800038,0.09997772,4.141055e-06
19.900038,0.09997772,4.142934e-06
20.000038,0.09997772,4.141994e-06
