Applied Potential(V),Measured Current(A)
-0.230178,3.4749909999999997e-06
-0.22017099999999998,3.641272e-06
-0.210163,3.784067e-06
-0.200155,3.940954e-06
-0.19014699999999998,4.055566e-06
-0.18014,4.180511e-06
-0.170132,4.315791e-06
-0.160124,4.412554e-06
-0.150116,4.516831e-06
-0.14010799999999998,4.638959e-06
-0.130101,4.743237e-06
-0.12009299999999999,4.834362e-06
-0.11008499999999999,4.927367e-06
-0.100077,4.99031e-06
-0.09007000800000001,5.103982e-06
-0.08006223200000001,5.186653e-06
-0.070054456,5.241141e-06
-0.06004667600000001,5.284355e-06
-0.050038896000000006,5.297507e-06
-0.040031116000000005,5.3191139999999996e-06
-0.030023338000000004,5.300325e-06
-0.020015558000000003,5.256171e-06
-0.010007779000000001,5.185713e-06
0.0,5.093648e-06
