Applied time(seconds),Measured potential(v)
0.0,-0.08441989600000001
9.999998999999999,-0.082400736
19.999997999999998,-0.080381584
29.999997999999998,-0.078891256
39.999995999999996,-0.077304784
49.999995999999996,-0.07557408
59.999995999999996,-0.07427604800000001
69.99999199999999,-0.07230496800000001
79.99999199999999,-0.07062233600000001
89.99999199999999,-0.069035856
99.99999199999999,-0.067449384
110.0,-0.06610328
120.0,-0.06504562400000001
130.0,-0.064180268
140.0,-0.0637476
150.0,-0.0641322
160.0,-0.065237924
170.0,-0.066343652
180.0,-0.066920556
190.0,-0.06730515200000001
200.0,-0.067689752
210.0,-0.06802628000000001
220.0,-0.067978208
230.0,-0.06725708000000001
240.0,-0.066728256
250.0,-0.066343652
260.0,-0.06615135200000001
270.0,-0.066007128
280.0,-0.0658629
290.0,-0.065622524
300.0,-0.06567060400000001
310.0,-0.065622524
320.0,-0.065478304
330.0,-0.065334076
340.0,-0.065237924
350.0,-0.065093704
360.0,-0.06504562400000001
370.0,-0.064997552
380.0,-0.065237924
390.0,-0.064997552
400.0,-0.064372576
410.0,-0.06393990000000001
420.0,-0.063603372
430.0,-0.063362992
440.0,-0.072978016
450.0,-0.076824024
460.0,-0.07812205600000001
470.0,-0.078795104
480.0,-0.080045056
490.0,-0.081246936
500.0,-0.081535392
510.0,-0.081535392
520.0,-0.08062196
530.0,-0.08033351200000001
540.0,-0.080766184
550.0,-0.08062196
560.0,-0.080429656
570.0,-0.079996992
580.0,-0.07985276000000001
590.0,-0.07961238400000001
600.0,-0.079660464
610.0,-0.079756608
620.0,-0.079996992
630.0,-0.07994891200000001
640.0,-0.07985276000000001
650.0,-0.079756608
660.0,-0.079660464
670.0,-0.07980468
680.0,-0.07913163200000001
690.0,-0.07860280800000001
700.0,-0.07845858400000001
710.0,-0.078362424
720.0,-0.078650888
730.0,-0.07884318400000001
740.0,-0.079179712
750.0,-0.079275864
760.0,-0.079275864
770.0,-0.07932393600000001
780.0,-0.07937200800000001
790.0,-0.07942008
