Applied time(seconds),Measured potential(v)
0.0,-0.10634199999999999
9.999998999999999,-0.105669
19.999997999999998,-0.114322
29.999997999999998,-0.113553
39.999995999999996,-0.12287899999999999
49.999995999999996,-0.116293
59.999995999999996,-0.113409
69.99999199999999,-0.11110099999999999
79.99999199999999,-0.11014
89.99999199999999,-0.109707
99.99999199999999,-0.108265
110.0,-0.107736
120.0,-0.106774
130.0,-0.106101
140.0,-0.105236
150.0,-0.10456299999999999
160.0,-0.10393799999999999
170.0,-0.103505
180.0,-0.103265
190.0,-0.10283199999999999
200.0,-0.10239899999999999
210.0,-0.102159
220.0,-0.101919
230.0,-0.10177499999999999
240.0,-0.10158199999999999
250.0,-0.101534
260.0,-0.10139
270.0,-0.101342
280.0,-0.10148599999999999
290.0,-0.10148599999999999
300.0,-0.10158199999999999
310.0,-0.10167799999999999
320.0,-0.101823
330.0,-0.101919
340.0,-0.101919
350.0,-0.101919
360.0,-0.10187099999999999
370.0,-0.101967
380.0,-0.101919
390.0,-0.101919
400.0,-0.102015
410.0,-0.102063
420.0,-0.102111
430.0,-0.10220699999999999
440.0,-0.102351
450.0,-0.102448
460.0,-0.10259199999999999
470.0,-0.102736
480.0,-0.10283199999999999
490.0,-0.10292799999999999
500.0,-0.10312099999999999
510.0,-0.103265
520.0,-0.103409
530.0,-0.10355299999999999
540.0,-0.10364899999999999
550.0,-0.10374599999999999
560.0,-0.10389
570.0,-0.103986
580.0,-0.10413
590.0,-0.10427399999999999
600.0,-0.104419
610.0,-0.104515
620.0,-0.104659
630.0,-0.104755
640.0,-0.10489899999999999
650.0,-0.10499599999999999
660.0,-0.10518799999999999
670.0,-0.105332
680.0,-0.105428
690.0,-0.10552399999999999
700.0,-0.105669
710.0,-0.105765
720.0,-0.105957
730.0,-0.106101
740.0,-0.106197
750.0,-0.10624499999999999
760.0,-0.106294
770.0,-0.10643799999999999
780.0,-0.10653399999999999
790.0,-0.10662999999999999
800.0,-0.106678
810.0,-0.106822
820.0,-0.10686999999999999
830.0,-0.107015
840.0,-0.10706299999999999
850.0,-0.10715899999999999
860.0,-0.10725499999999999
870.0,-0.107351
880.0,-0.107447
890.0,-0.107544
900.0,-0.10764
910.0,-0.10764
920.0,-0.10778399999999999
930.0,-0.107832
940.0,-0.107928
950.0,-0.108024
960.0,-0.10812
970.0,-0.108168
980.0,-0.10831299999999999
990.0,-0.10840899999999999
1000.0,-0.108649
1010.0,-0.10889
1020.0,-0.10903399999999999
1030.0,-0.109178
1040.0,-0.10932199999999999
1050.0,-0.109467
1060.0,-0.109467
1070.0,-0.109707
1080.0,-0.109707
1090.0,-0.109803
1100.0,-0.10985099999999999
1110.0,-0.109995
1120.0,-0.110092
1130.0,-0.110188
1140.0,-0.110332
1150.0,-0.110428
1160.0,-0.110428
1170.0,-0.11057199999999999
1180.0,-0.11066799999999999
1190.0,-0.110813
1200.0,-0.110957
1210.0,-0.110957
1220.0,-0.111053
1230.0,-0.111149
