Applied time(seconds),Measured potential(v)
0.0,-0.363351
0.999999,-0.363351
1.9999989999999999,-0.363255
2.999999,-0.36344699999999996
3.999999,-0.363736
4.999999,-0.36421699999999996
5.999999,-0.364986
6.999999,-0.366428
7.999999,-0.367197
8.999998999999999,-0.368351
9.999998999999999,-0.369312
10.999998999999999,-0.368736
11.999998999999999,-0.36960099999999996
12.999998999999999,-0.370178
13.999998999999999,-0.369697
14.999998999999999,-0.369986
15.999998999999999,-0.37046599999999996
16.999997999999998,-0.37037
17.999997999999998,-0.37046599999999996
18.999997999999998,-0.370755
19.999997999999998,-0.37065899999999996
20.999997999999998,-0.370851
21.999997999999998,-0.371235
22.999997999999998,-0.37094699999999997
23.999997999999998,-0.37104299999999996
24.999997999999998,-0.371428
25.999997999999998,-0.371139
26.999997999999998,-0.371428
27.999997999999998,-0.371716
28.999997999999998,-0.371332
29.999997999999998,-0.372005
30.999997999999998,-0.37296599999999996
31.999997999999998,-0.373928
32.999998,-0.37498499999999996
33.999995999999996,-0.375947
34.999995999999996,-0.376812
35.999995999999996,-0.37767799999999996
36.999995999999996,-0.378447
37.999995999999996,-0.379216
38.999995999999996,-0.37998499999999996
39.999995999999996,-0.380754
40.999995999999996,-0.38142699999999996
41.999995999999996,-0.382004
42.999995999999996,-0.382677
43.999995999999996,-0.383254
44.999995999999996,-0.383831
45.999995999999996,-0.384312
46.999995999999996,-0.38498499999999997
47.999995999999996,-0.385466
48.999995999999996,-0.38594599999999996
49.999995999999996,-0.38642699999999996
50.999995999999996,-0.386908
51.999995999999996,-0.387389
52.999995999999996,-0.387773
53.999995999999996,-0.388254
54.999995999999996,-0.38863899999999996
55.999995999999996,-0.389023
56.999995999999996,-0.389408
57.999995999999996,-0.389889
58.999995999999996,-0.390273
