Applied Potential(V),Measured Current(A)
0.0,4.9499144000000005e-08
0.010007779000000001,2.95707e-07
0.020015558000000003,4.29888e-07
0.030023338000000004,4.96776e-07
0.040031116000000005,5.537059999999999e-07
0.050038896000000006,6.04624e-07
0.06004667600000001,6.51502e-07
0.070054456,7.007279999999999e-07
0.08006223200000001,7.49673e-07
0.09007000800000001,7.99839e-07
0.100077,8.51697e-07
0.11008499999999999,9.08063e-07
0.12009299999999999,9.71569e-07
0.130101,1.040806e-06
0.14010799999999998,1.098394e-06
0.150116,1.162652e-06
0.160124,1.231231e-06
0.170132,1.278297e-06
0.18014,1.3830439999999999e-06
0.19014699999999998,1.4723849999999999e-06
0.200155,1.5613499999999999e-06
0.210163,1.660555e-06
0.22017099999999998,1.749238e-06
0.230178,1.844498e-06
0.24018599999999998,1.942951e-06
0.25019399999999997,2.049014e-06
0.260202,2.164941e-06
0.27021,2.292705e-06
0.280217,2.448088e-06
0.290225,2.628367e-06
0.30023299999999997,2.797655e-06
0.310241,3.02312e-06
0.320248,3.230737e-06
0.330256,3.428019e-06
0.340264,3.752126e-06
0.350272,4.051808e-06
0.36028,4.363702e-06
0.370287,4.83812e-06
0.380295,5.230806e-06
0.39030299999999996,5.713679e-06
0.400311,6.442685e-06
0.41031799999999996,7.134113e-06
0.420326,7.904455e-06
0.430334,8.889928e-06
0.44034199999999996,9.600146e-06
0.45035,1.0855238999999999e-05
0.46035699999999996,1.1914928e-05
0.470365,1.3021588999999999e-05
0.480373,1.4571667e-05
0.49038099999999996,1.6625284e-05
0.480373,1.6494702999999998e-05
0.470365,1.6651588999999998e-05
0.46035699999999996,1.7285712e-05
0.45035,1.7872862e-05
0.44034199999999996,1.8444982e-05
0.430334,1.9299874e-05
0.420326,2.0107792e-05
0.41031799999999996,1.9561038e-05
0.400311,2.0290982e-05
0.39030299999999996,2.053148e-05
0.380295,2.1034082e-05
0.370287,1.9620222e-05
0.36028,1.9532853999999998e-05
0.350272,2.0827404e-05
0.340264,2.0216768e-05
0.330256,2.0630122e-05
0.320248,1.9989424e-05
0.310241,1.996124e-05
0.30023299999999997,2.0016665999999998e-05
0.290225,1.9547885999999998e-05
0.280217,1.9630556e-05
0.27021,1.9375967999999998e-05
0.260202,1.863099e-05
0.25019399999999997,1.8068265999999998e-05
0.24018599999999998,1.6916512e-05
0.230178,1.5969555e-05
0.22017099999999998,1.40127e-05
0.210163,1.2766061999999999e-05
0.200155,1.2182669e-05
0.19014699999999998,1.1488423e-05
0.18014,1.0908786999999999e-05
