Applied Potential(V),Measured Current(A)
0.0,4.59762e-07
0.010007779000000001,8.32532e-07
0.020015558000000003,1.059313e-06
0.030023338000000004,1.241283e-06
0.040031116000000005,1.401645e-06
0.050038896000000006,1.548104e-06
0.06004667600000001,1.68902e-06
0.070054456,1.825803e-06
0.08006223200000001,1.9593909999999998e-06
0.09007000800000001,2.092886e-06
0.100077,2.224971e-06
0.11008499999999999,2.35762e-06
0.12009299999999999,2.491867e-06
0.130101,2.63795e-06
0.14010799999999998,2.768532e-06
0.150116,2.900993e-06
0.160124,3.0184229999999998e-06
0.170132,3.164036e-06
0.18014,3.295558e-06
0.19014699999999998,3.4345949999999998e-06
0.200155,3.56142e-06
0.210163,3.7098519999999998e-06
0.22017099999999998,3.835737e-06
0.230178,3.960682e-06
0.24018599999999998,4.118508e-06
0.25019399999999997,4.247212e-06
0.260202,4.400341e-06
0.27021,4.543136e-06
0.280217,4.700022e-06
0.290225,4.856909e-06
0.30023299999999997,5.0072189999999996e-06
0.310241,5.179137e-06
0.320248,5.351055e-06
0.330256,5.536125e-06
0.340264,5.730589e-06
0.350272,5.935387e-06
0.36028,6.211583e-06
0.370287,6.521598e-06
0.380295,6.911466e-06
0.39030299999999996,7.4337949999999995e-06
0.400311,8.080131e-06
0.41031799999999996,8.845775e-06
0.420326,9.456412e-06
0.430334,1.0238966e-05
0.44034199999999996,1.1284564e-05
0.45035,1.2484229e-05
0.46035699999999996,1.3412396999999999e-05
0.470365,1.4892956e-05
0.480373,1.745951e-05
0.49038099999999996,2.026186e-05
0.480373,2.1653171999999998e-05
0.470365,2.3212644e-05
0.46035699999999996,2.5371479999999998e-05
0.45035,2.7610167999999998e-05
0.44034199999999996,3.0606983999999996e-05
0.430334,3.3528643999999996e-05
0.420326,3.3585012e-05
0.41031799999999996,3.6666376e-05
0.400311,3.8301004e-05
0.39030299999999996,3.5830272e-05
0.380295,3.3350152e-05
0.370287,3.3876236e-05
0.36028,3.3622588e-05
0.350272,3.4280196e-05
0.340264,3.1067308e-05
