Applied Potential(V),Measured Current(A)
0.0,3.381987e-12
0.010007779000000001,4.55347e-10
0.020015558000000003,9.12385e-10
0.030023338000000004,1.335885e-09
0.040031116000000005,1.723404e-09
0.050038896000000006,2.0783250000000003e-09
0.06004667600000001,2.39501e-09
0.070054456,2.665381e-09
0.08006223200000001,2.898175e-09
0.09007000800000001,3.0879420000000002e-09
0.08006223200000001,2.88878e-09
0.070054456,2.6464050000000002e-09
0.06004667600000001,2.3777250000000003e-09
0.050038896000000006,2.071467e-09
0.040031116000000005,1.7201160000000002e-09
0.030023338000000004,1.3208530000000002e-09
0.020015558000000003,8.943470000000001e-10
0.010007779000000001,4.3684e-10
0.0,5.636646e-12
-0.010007779000000001,-4.5328e-10
-0.020015558000000003,-8.957560000000001e-10
-0.030023338000000004,-1.312774e-09
-0.040031116000000005,-1.7002000000000002e-09
-0.050038896000000006,-2.044505e-09
-0.06004667600000001,-2.3551780000000003e-09
-0.070054456,-2.616812e-09
-0.08006223200000001,-2.842748e-09
-0.09007000800000001,-3.030636e-09
-0.08006223200000001,-2.840869e-09
-0.070054456,-2.6163430000000002e-09
-0.06004667600000001,-2.3504810000000003e-09
-0.050038896000000006,-2.0470410000000003e-09
-0.040031116000000005,-1.7003880000000001e-09
-0.030023338000000004,-1.315217e-09
-0.020015558000000003,-8.962260000000001e-10
-0.010007779000000001,-4.5562800000000004e-10
0.0,-6.576087e-12
