Applied Potential(V),Measured Current(A)
0.0,1.4561335e-11
0.010007779000000001,4.68687e-10
0.020015558000000003,9.153910000000001e-10
0.030023338000000004,1.33363e-09
0.040031116000000005,1.727537e-09
0.050038896000000006,2.080298e-09
0.06004667600000001,2.3941650000000003e-09
0.070054456,2.666978e-09
0.08006223200000001,2.8962960000000004e-09
0.09007000800000001,3.0879420000000002e-09
0.08006223200000001,2.8934780000000004e-09
0.070054456,2.6642540000000002e-09
0.06004667600000001,2.393695e-09
0.050038896000000006,2.080861e-09
0.040031116000000005,1.7266920000000002e-09
0.030023338000000004,1.334945e-09
0.020015558000000003,9.131360000000001e-10
0.010007779000000001,4.68781e-10
0.0,1.5970497e-11
-0.010007779000000001,-4.34491e-10
-0.020015558000000003,-8.728340000000001e-10
-0.030023338000000004,-1.2896640000000001e-09
-0.040031116000000005,-1.6752110000000002e-09
-0.050038896000000006,-2.0192340000000003e-09
-0.06004667600000001,-2.3238950000000003e-09
-0.070054456,-2.587878e-09
-0.08006223200000001,-2.8098670000000002e-09
-0.09007000800000001,-3.000574e-09
-0.08006223200000001,-2.807989e-09
-0.070054456,-2.5862800000000003e-09
-0.06004667600000001,-2.3232370000000002e-09
-0.050038896000000006,-2.0141610000000003e-09
-0.040031116000000005,-1.668447e-09
-0.030023338000000004,-1.2842150000000002e-09
-0.020015558000000003,-8.68982e-10
-0.010007779000000001,-4.28385e-10
0.0,1.9728260000000003e-11
