Applied Potential(V),Measured Current(A)
0.0,-7.515528e-12
0.010007779000000001,4.6709e-10
0.020015558000000003,9.44044e-10
0.030023338000000004,1.382575e-09
0.040031116000000005,1.7841860000000002e-09
0.050038896000000006,2.1500040000000003e-09
0.06004667600000001,2.4674410000000002e-09
0.070054456,2.747864e-09
0.08006223200000001,2.980846e-09
0.09007000800000001,3.1753100000000003e-09
0.08006223200000001,2.980846e-09
0.070054456,2.7441070000000002e-09
0.06004667600000001,2.464153e-09
0.050038896000000006,2.1494410000000003e-09
0.040031116000000005,1.7868160000000002e-09
0.030023338000000004,1.3847350000000002e-09
0.020015558000000003,9.507140000000002e-10
0.010007779000000001,4.950850000000001e-10
0.0,3.1940994e-11
-0.010007779000000001,-4.3214200000000004e-10
-0.020015558000000003,-8.764980000000001e-10
-0.030023338000000004,-1.3046950000000001e-09
-0.040031116000000005,-1.6932480000000001e-09
-0.050038896000000006,-2.0444110000000003e-09
-0.06004667600000001,-2.3614720000000003e-09
-0.070054456,-2.6308100000000003e-09
-0.08006223200000001,-2.8643550000000003e-09
-0.09007000800000001,-3.0503640000000002e-09
-0.08006223200000001,-2.857779e-09
-0.070054456,-2.627616e-09
-0.06004667600000001,-2.3561170000000002e-09
-0.050038896000000006,-2.0395260000000003e-09
-0.040031116000000005,-1.6853570000000001e-09
-0.030023338000000004,-1.2973670000000001e-09
-0.020015558000000003,-8.7368e-10
-0.010007779000000001,-4.2368700000000004e-10
0.0,3.757764e-11
