Applied Potential(V),Measured Current(A)
0.0,-1.368765e-09
0.010007779000000001,-1.399767e-09
0.020015558000000003,-1.128268e-09
0.030023338000000004,-1.060628e-09
0.040031116000000005,-8.501940000000001e-10
0.050038896000000006,-2.20017e-10
0.06004667600000001,-2.0639500000000001e-10
0.070054456,-1.72669e-10
0.08006223200000001,-1.28139e-10
0.09007000800000001,-1.2485100000000002e-10
0.100077,-7.027018400000001e-11
0.11008499999999999,-6.313043200000001e-11
0.12009299999999999,-4.0114132000000005e-11
0.130101,-3.194099e-12
0.14010799999999998,4.5844720000000004e-11
0.150116,4.2838508e-11
0.160124,7.045807200000001e-11
0.170132,1.12451e-10
0.18014,1.4054000000000001e-10
0.19014699999999998,1.57356e-10
0.200155,2.08461e-10
0.210163,1.8413000000000001e-10
0.22017099999999998,2.1935900000000002e-10
0.230178,2.85496e-10
0.24018599999999998,3.36319e-10
0.25019399999999997,3.6920000000000003e-10
0.260202,3.83385e-10
0.27021,4.2331200000000003e-10
0.280217,4.6060700000000005e-10
0.290225,4.703780000000001e-10
0.30023299999999997,4.748870000000001e-10
0.310241,5.398020000000001e-10
0.320248,5.62443e-10
0.330256,5.712740000000001e-10
0.340264,6.10636e-10
0.350272,6.213460000000001e-10
0.36028,6.305520000000001e-10
0.370287,6.265130000000001e-10
0.380295,6.218150000000001e-10
0.39030299999999996,6.272640000000001e-10
0.400311,6.46711e-10
0.41031799999999996,6.274520000000001e-10
0.420326,6.26701e-10
0.430334,6.32243e-10
0.44034199999999996,6.2717e-10
0.45035,6.222850000000001e-10
0.46035699999999996,6.17024e-10
0.470365,6.309280000000001e-10
0.480373,6.318670000000001e-10
0.49038099999999996,6.332770000000001e-10
0.480373,6.26137e-10
0.470365,6.250100000000001e-10
0.46035699999999996,6.35343e-10
0.45035,6.28016e-10
0.44034199999999996,6.3027e-10
0.430334,6.241640000000001e-10
0.420326,6.30834e-10
0.41031799999999996,6.364710000000001e-10
0.400311,6.25855e-10
0.39030299999999996,6.2764e-10
0.380295,6.44926e-10
0.370287,6.25291e-10
0.36028,6.33558e-10
0.350272,6.33089e-10
0.340264,6.278280000000001e-10
0.330256,6.28016e-10
0.320248,6.37692e-10
0.310241,6.154270000000001e-10
0.30023299999999997,6.410740000000001e-10
0.290225,6.28579e-10
0.280217,6.274520000000001e-10
0.27021,6.341220000000001e-10
0.260202,6.23976e-10
0.25019399999999997,6.218150000000001e-10
0.24018599999999998,6.291430000000001e-10
0.230178,6.369400000000001e-10
0.22017099999999998,6.260430000000001e-10
0.210163,6.01054e-10
0.200155,5.74092e-10
0.19014699999999998,5.61879e-10
0.18014,5.206380000000001e-10
0.170132,4.922670000000001e-10
0.160124,4.5130700000000004e-10
0.150116,4.3139100000000006e-10
0.14010799999999998,4.01235e-10
0.130101,3.7643300000000004e-10
0.12009299999999999,3.4787400000000004e-10
0.11008499999999999,3.1320900000000004e-10
0.100077,2.86435e-10
0.09007000800000001,2.6097600000000003e-10
0.08006223200000001,2.3185400000000001e-10
0.070054456,2.03013e-10
0.06004667600000001,1.7896300000000002e-10
0.050038896000000006,1.55195e-10
0.040031116000000005,1.0859900000000001e-10
0.030023338000000004,8.0697984e-11
0.020015558000000003,5.5239128e-11
0.010007779000000001,2.5834628000000002e-11
0.0,-2.5364900000000002e-12
-0.010007779000000001,-3.1847048e-11
-0.020015558000000003,-6.425776400000001e-11
-0.030023338000000004,-8.022826400000001e-11
-0.040031116000000005,-1.33118e-10
-0.050038896000000006,-1.48525e-10
-0.06004667600000001,-2.1024600000000002e-10
-0.070054456,-2.30726e-10
-0.08006223200000001,-2.9150800000000004e-10
-0.09007000800000001,-2.88408e-10
-0.100077,-2.95548e-10
-0.11008499999999999,-3.33407e-10
-0.12009299999999999,-3.5229000000000003e-10
-0.130101,-3.72018e-10
-0.14010799999999998,-4.3533600000000004e-10
-0.150116,-4.55347e-10
-0.160124,-4.56004e-10
-0.170132,-5.219530000000001e-10
-0.18014,-5.64697e-10
-0.19014699999999998,-5.28435e-10
-0.200155,-5.90156e-10
-0.210163,-5.94384e-10
-0.22017099999999998,-5.972960000000001e-10
-0.230178,-5.54176e-10
-0.24018599999999998,-5.81889e-10
-0.25019399999999997,-5.160340000000001e-10
-0.260202,-6.61742e-10
-0.27021,-6.62211e-10
-0.280217,-1.6901480000000002e-09
-0.290225,-6.808120000000001e-10
-0.30023299999999997,-6.117630000000001e-10
-0.310241,-6.01054e-10
-0.320248,-6.82034e-10
-0.330256,-6.401350000000001e-10
-0.340264,-6.488710000000001e-10
-0.350272,-6.373160000000001e-10
-0.36028,-6.20782e-10
-0.370287,-6.264190000000001e-10
-0.380295,-6.13454e-10
-0.39030299999999996,-6.53193e-10
-0.400311,-6.1383e-10
-0.41031799999999996,-6.36659e-10
-0.420326,-6.305520000000001e-10
-0.430334,-6.41262e-10
-0.44034199999999996,-6.110120000000001e-10
-0.45035,-6.109180000000001e-10
-0.46035699999999996,-5.976720000000001e-10
-0.470365,-5.84614e-10
-0.480373,-5.880900000000001e-10
-0.49038099999999996,-5.986110000000001e-10
-0.480373,-5.858350000000001e-10
-0.470365,-5.859290000000001e-10
-0.46035699999999996,-5.891230000000001e-10
-0.45035,-6.01148e-10
-0.44034199999999996,-4.3439700000000005e-10
-0.430334,-6.28579e-10
-0.420326,-5.30314e-10
-0.41031799999999996,-3.99638e-10
-0.400311,-5.55491e-10
-0.39030299999999996,-6.040600000000001e-10
-0.380295,-7.787960000000001e-10
-0.370287,-7.167930000000001e-10
-0.36028,-5.93444e-10
-0.350272,-5.48727e-10
-0.340264,-5.122770000000001e-10
-0.330256,-4.0480500000000003e-10
-0.320248,-4.2180800000000005e-10
-0.310241,-3.7277000000000005e-10
-0.30023299999999997,-4.6239200000000006e-10
-0.290225,-3.9494000000000003e-10
-0.280217,-3.7643300000000004e-10
-0.27021,-3.6384500000000005e-10
-0.260202,-2.95078e-10
-0.25019399999999997,-2.2527700000000002e-10
-0.24018599999999998,-2.40966e-10
-0.230178,-1.91458e-10
-0.22017099999999998,-1.03714e-10
-0.210163,-1.3960000000000001e-10
-0.200155,-1.0315000000000001e-10
-0.19014699999999998,-5.9278728e-11
-0.18014,-4.8756988e-11
-0.170132,-3.3068322e-11
-0.160124,7.0458070000000005e-12
-0.150116,4.3214284e-11
-0.14010799999999998,7.647049600000001e-11
-0.130101,8.5583072e-11
-0.12009299999999999,1.32367e-10
-0.11008499999999999,1.6139500000000001e-10
-0.100077,1.78305e-10
-0.09007000800000001,2.0132200000000003e-10
-0.08006223200000001,2.3288700000000004e-10
-0.070054456,3.2983700000000005e-10
-0.06004667600000001,3.1095400000000003e-10
-0.050038896000000006,3.5867800000000003e-10
-0.040031116000000005,3.7370900000000004e-10
-0.030023338000000004,4.5591000000000003e-10
-0.020015558000000003,4.977150000000001e-10
-0.010007779000000001,4.81557e-10
0.0,5.02131e-10
