Applied time(seconds),Measured potential(v)
0.0,-0.0001923
9.999998999999999,-0.0001923
19.999997999999998,-0.0001923
29.999997999999998,-0.000240375
39.999995999999996,-0.000240375
49.999995999999996,-0.000240375
59.999995999999996,-0.00021153
69.99999199999999,-0.00023076000000000002
79.99999199999999,-0.00023076000000000002
89.99999199999999,-0.000182685
99.99999199999999,-0.0001923
110.0,-0.0001923
120.0,-0.0001923
130.0,-0.00021153
140.0,-0.00017307000000000002
150.0,-0.000163455
160.0,-0.00047113600000000004
170.0,-0.0001923
180.0,-0.000163455
190.0,-0.00015384
200.0,-0.00017307000000000002
210.0,-0.000182685
220.0,-0.00017307000000000002
230.0,-0.000163455
240.0,-0.000182685
250.0,-0.0001923
260.0,-0.0001923
270.0,-0.0001923
280.0,-0.0001923
290.0,-0.000182685
300.0,-0.000221145
310.0,-0.000182685
320.0,-0.00015384
330.0,-0.000163455
340.0,-0.00017307000000000002
350.0,-0.000163455
360.0,-0.000182685
370.0,-0.000182685
380.0,-0.000240375
390.0,-0.000163455
400.0,-0.00020191500000000002
410.0,-0.000163455
420.0,-0.00021153
430.0,-0.00021153
440.0,-0.000163455
450.0,-0.00021153
460.0,-0.0001923
470.0,-0.000163455
480.0,-0.00021153
490.0,-0.00017307000000000002
500.0,-0.00015384
510.0,-0.000298065
520.0,-0.000182685
530.0,-0.0001923
540.0,-0.00013461000000000001
550.0,-0.000182685
560.0,-0.00017307000000000002
570.0,-0.000182685
580.0,-0.000182685
590.0,-0.0001923
600.0,9.6150208e-05
610.0,-0.00017307000000000002
620.0,-0.000163455
630.0,-0.00023076000000000002
640.0,-0.000221145
650.0,-0.00020191500000000002
660.0,-0.00020191500000000002
670.0,-0.00020191500000000002
680.0,-0.0001923
690.0,-0.00020191500000000002
700.0,-0.000182685
710.0,-0.00023076000000000002
720.0,-0.000221145
730.0,-0.0001923
740.0,-0.00021153
750.0,-0.0001923
760.0,-0.000182685
770.0,-0.00021153
780.0,-0.00020191500000000002
790.0,-0.00021153
800.0,-0.00017307000000000002
810.0,-0.000163455
820.0,-0.00020191500000000002
830.0,-0.000163455
840.0,-0.00020191500000000002
850.0,-0.000144225
860.0,-0.000182685
870.0,-0.00020191500000000002
880.0,-0.00017307000000000002
890.0,-0.000163455
900.0,-0.0001923
910.0,-0.000163455
920.0,-0.00017307000000000002
930.0,-0.000163455
940.0,-0.00020191500000000002
950.0,-0.0001923
960.0,-0.0001923
970.0,-0.000240375
980.0,-5.7690124e-05
990.0,-0.00015384
1000.0,-0.00011538000000000001
1010.0,-0.0001923
1020.0,-0.000163455
1030.0,-0.000124995
1040.0,-0.00021153
1050.0,-0.00020191500000000002
1060.0,-0.0001923
1070.0,-0.000182685
1080.0,-0.0001923
1090.0,-0.000182685
1100.0,-0.00017307000000000002
1110.0,-0.000105765
1120.0,-0.000432676
1130.0,-0.001086497
1140.0,0.000240375
1150.0,0.0001923
1160.0,-3.8460084e-05
1170.0,0.000163455
1180.0,-7.6920168e-05
1190.0,0.00023076000000000002
1200.0,0.0005095960000000001
1210.0,-0.0001923
1220.0,-0.00028845
1230.0,-0.00031729500000000004
1240.0,-0.000278835
1250.0,-0.000278835
1260.0,-0.000259605
1270.0,-0.00023076000000000002
1280.0,-0.00021153
1290.0,-0.000221145
1300.0,-0.00020191500000000002
1310.0,-0.00017307000000000002
1320.0,-0.0001923
1330.0,-0.000221145
1340.0,-0.000221145
1350.0,-0.000221145
1360.0,-0.000221145
1370.0,-0.00020191500000000002
1380.0,-0.000240375
1390.0,-0.000182685
1400.0,-0.00021153
1410.0,-0.00024999
1420.0,-0.000278835
1430.0,-0.00037498500000000004
1440.0,5.7690124e-05
1450.0,-0.000105765
1460.0,-0.00024999
1470.0,-0.00021153
1480.0,-0.00021153
1490.0,-0.0001923
1500.0,-0.0001923
1510.0,-0.00011538000000000001
1520.0,-0.000259605
1530.0,-0.00020191500000000002
1540.0,-0.00013461000000000001
1550.0,-0.0001923
1560.0,-0.000240375
1570.0,-0.000182685
1580.0,-0.00021153
1590.0,-0.000240375
1600.0,-0.00021153
1610.0,-0.00021153
1620.0,-0.000240375
1630.0,-0.000221145
1640.0,-0.00013461000000000001
1650.0,-0.0001923
1660.0,-9.6150208e-05
1670.0,-0.000298065
1680.0,-0.000240375
1690.0,-0.00021153
1700.0,-0.0001923
1710.0,-0.00020191500000000002
1720.0,-0.0001923
1730.0,-0.000221145
1740.0,-0.00023076000000000002
1750.0,-0.00015384
1760.0,-0.00015384
1770.0,-0.00020191500000000002
1780.0,-0.00021153
1790.0,-0.000182685
1800.0,-0.00017307000000000002
1810.0,-0.00017307000000000002
1820.0,-0.00015384
1830.0,-0.00013461000000000001
1840.0,-0.000144225
1850.0,-0.0001923
1860.0,-0.001259567
1870.0,-0.00040383000000000004
1880.0,5.7690124e-05
1890.0,-0.00046152100000000006
1900.0,-4.8075104e-05
1910.0,-0.000105765
1920.0,-6.7305144e-05
1930.0,-0.00015384
1940.0,-0.000144225
1950.0,-0.00017307000000000002
1960.0,-0.000163455
1970.0,-0.000182685
1980.0,-0.000163455
1990.0,-0.000355755
2000.0,-0.00021153
2010.0,-6.7305144e-05
2020.0,-0.000163455
2030.0,-0.00015384
2040.0,-0.000182685
2050.0,-0.00020191500000000002
2060.0,-0.000163455
2070.0,-0.00021153
2080.0,-0.0001923
2090.0,-0.000298065
2100.0,-0.0001923
2110.0,-0.000182685
2120.0,-0.000163455
2130.0,-0.0001923
2140.0,-0.0001923
2150.0,-0.0001923
2160.0,-0.00020191500000000002
2170.0,-0.000182685
2180.0,-0.000182685
2190.0,-0.00013461000000000001
2200.0,5.7690124e-05
2210.0,-0.000144225
2220.0,-0.00046152100000000006
2230.0,-0.000298065
2240.0,-0.00023076000000000002
2250.0,-0.00028845
2260.0,-0.001057652
2270.0,-0.00044229100000000004
2280.0,0.00017307000000000002
2290.0,-9.615021e-06
2300.0,-5.7690124e-05
2310.0,-0.000124995
2320.0,-0.00017307000000000002
2330.0,-0.00017307000000000002
2340.0,-0.00017307000000000002
2350.0,-0.0001923
2360.0,-0.00020191500000000002
2370.0,-0.00024999
2380.0,-0.00020191500000000002
2390.0,-0.0001923
2400.0,-0.00021153
2410.0,-0.00020191500000000002
2420.0,-0.00023076000000000002
2430.0,-0.00021153
2440.0,-0.0001923
2450.0,-0.00017307000000000002
2460.0,-0.0001923
2470.0,-0.000182685
2480.0,-0.000182685
2490.0,-0.00020191500000000002
2500.0,-0.00021153
2510.0,-0.000221145
2520.0,-0.00020191500000000002
2530.0,-0.00020191500000000002
2540.0,-0.000240375
2550.0,-0.00023076000000000002
2560.0,-0.00024999
2570.0,-0.0001923
2580.0,-0.0001923
2590.0,-0.000221145
2600.0,-0.000221145
2610.0,-0.000221145
2620.0,-0.0001923
2630.0,-0.0001923
2640.0,-0.0001923
2650.0,-0.000298065
2660.0,-0.00032691
2670.0,-0.000124995
2680.0,-0.00011538000000000001
2690.0,-0.000144225
2700.0,-0.0011057270000000001
2710.0,-0.00026922000000000003
2720.0,-6.7305144e-05
2730.0,-0.000105765
2740.0,-0.000182685
2750.0,-0.00017307000000000002
2760.0,-0.00021153
2770.0,-0.00017307000000000002
2780.0,-0.000182685
2790.0,-0.00021153
2800.0,-0.00024999
2810.0,-0.000182685
2820.0,-0.0001923
2830.0,-0.00020191500000000002
2840.0,-0.00023076000000000002
2850.0,-0.000240375
2860.0,-0.00023076000000000002
2870.0,-0.000221145
2880.0,-0.000221145
2890.0,-0.0001923
2900.0,-0.00020191500000000002
2910.0,-0.000221145
2920.0,-0.00023076000000000002
2930.0,-0.00020191500000000002
2940.0,-0.00017307000000000002
2950.0,-0.000182685
2960.0,-0.0001923
2970.0,-0.00017307000000000002
2980.0,-0.00021153
2990.0,-0.00021153
